date,loginTime,logoutTime,duration,status
2026-05-05,--,--,--,No Data
2026-05-06,--,--,--,No Data
2026-05-07,--,--,--,No Data
2026-05-08,--,--,--,No Data
2026-05-09,--,--,--,Weekend
2026-05-10,--,--,--,Weekend
2026-05-11,02:54 pm,--,0h 5m,Active
