rank,appName,activeSeconds,activeMinutes,activeHours
1,PowerShell,4461,74,1.24
2,Antigravity,351,6,0.10
3,Microsoft Edge,223,4,0.06
4,Electron,160,3,0.04
5,SearchHost.exe,49,1,0.01
6,Settings,6,0,0.00
7,SnippingTool.exe,4,0,0.00
8,Windows Explorer,3,0,0.00
9,Google Chrome,2,0,0.00
